iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BGD,178.1859871,167.0338693,157.1533308,147.2970984,137.7785432,129.641548,119.7874985,110.7007589,104.6918784,100.4335734,96.01856371,90.42288735,87.08847159,82.2398365,77.15793384,73.25240987,69.62390471,64.61775826,59.3051399,55.67660014,52.85312191,48.12360146,44.21065859,42.74531632,41.91001949,40.24597487,39.34784344,39.26091333,37.21201679,35.50076663
BRB,4.960308402,4.798392294,4.775648963,4.808991986,4.747820971,4.70794749,4.605308631,4.542971708,4.427841685,4.273191139,4.25389008,4.145399563,4.277589202,4.476758474,4.484445787,4.396988508,4.285229401,4.184002645,4.018097506,3.746587359,3.655065129,3.586699211,3.476202138,3.412842926,3.411142052,3.395811327,3.375099287,3.359507155,3.360399454,3.412406007
BLR,1.109176089,1.104797581,1.10456244,1.126708028,1.158042175,1.169851122,1.120305204,1.114376459,1.1174879,1.089502193,0.92913743,0.849655877,0.735831376,0.625146807,0.539243304,0.485560268,0.421739072,0.361871907,0.332206792,0.3243705,0.312186081,0.307686792,0.269451586,0.257139052,0.244475838,0.231023291,0.224505741,0.220424116,0.21379123,0.209698203
BEL,0.344380484,0.340839909,0.343452104,0.347400887,0.343558678,0.351024919,0.36164922,0.373523441,0.390379333,0.404642818,0.425885398,0.43439599,0.456872382,0.482533594,0.485534276,0.493050036,0.487286172,0.48879198,0.499561923,0.49495776,0.478065665,0.462605065,0.454693297,0.452578382,0.434475516,0.440006765,0.426118152,0.417247551,0.412102974,0.408158166
BLZ,17.98459661,16.58426998,15.55166261,14.68748611,13.94086291,13.883631,14.19742408,14.7405005,14.80420063,14.53755418,13.78187139,12.55375173,11.51911272,11.13817279,10.8040019,10.30074766,10.02410063,9.59624374,9.055850768,8.876944185,8.824982204,8.598599919,8.221554365,8.111794937,8.10503143,8.002342711,7.734838502,7.583072898,7.60816494,7.520252425
BEN,195.1378332,194.1945669,188.145275,183.5091605,179.8885035,175.614483,173.3717504,167.5642891,163.9243758,159.6694595,154.9919652,147.4305504,143.9373438,137.1272332,132.1188053,125.7655648,121.6628176,116.8526711,114.0573996,111.7885584,109.1797927,106.1112946,103.7416345,101.2076791,97.98693468,96.93716828,94.3533114,92.16627007,85.74884891,81.94373405
BMU,3.173993602,3.078707829,2.938509177,2.926225697,2.827518118,2.637565556,2.604940811,2.433541964,2.279273101,2.171359254,2.068345088,1.938642662,1.842637816,1.765323153,1.662599132,1.607112755,1.529582916,1.463276654,1.427426679,1.369468317,1.315487142,1.266254417,1.238890432,1.224785479,1.199621071,1.186448385,1.171908488,1.159655865,1.142737911,1.123606053
BTN,161.2852391,158.1167628,148.255226,137.7053651,127.7860349,118.7593113,109.4938584,100.1998003,91.05469911,81.15434996,75.25145825,69.24256042,62.58291304,57.23254825,51.84372969,46.88547669,43.35050414,41.83531699,39.20206767,36.83767269,34.69115286,32.95747994,31.32237502,30.10394129,29.03399606,27.83216617,26.6595194,25.78536979,24.56502804,23.42971904
BOL,55.43946897,54.51459774,51.68746963,48.56038582,44.37703522,42.5763876,40.86912117,37.50034077,35.62456036,34.43206906,32.02495471,29.99574458,27.88658185,25.84986719,24.01112888,22.85083304,21.41115025,20.08956661,19.16331195,18.43336727,17.56595246,16.66099427,15.9550183,15.53563001,15.84012117,14.9344444,13.54343654,13.19383694,12.69925858,12.29145224
BIH,0.880960514,0.887575367,0.909076357,0.910999685,0.91138888,0.888244646,0.760987422,0.638392151,0.519690713,0.441754484,0.398081768,0.374621632,0.367656494,0.341731063,0.320842582,0.311421637,0.295707017,0.283987955,0.261386279,0.24377348,0.227327683,0.220135942,0.224856166,0.230845321,0.229714297,0.235561304,0.234419023,0.221988891,0.21388229,0.204937255
BWA,140.9873932,137.0133963,134.622266,132.2561375,131.6364942,130.9014387,128.8301663,126.343408,126.9190335,125.4112764,123.9077157,121.4885592,116.5182642,110.3963414,103.7014978,97.10649819,115.4200974,83.57268172,78.33487901,74.29418682,70.60239314,67.24250239,63.32466136,59.82621654,57.41543463,55.13068229,52.89044641,51.88659376,49.98000522,48.37429449
BRA,34.2080201,32.02138146,29.84394902,28.0713629,25.81361872,23.27357917,21.0637872,19.02722261,17.54655979,15.92011932,14.34225849,13.34724992,12.52501892,11.80990139,11.06866765,10.32583901,9.617395816,8.938089121,8.346878228,7.858607947,7.415384752,7.064833862,6.750587229,6.510054784,6.189441724,6.002155795,5.88447397,5.628261026,5.413241969,5.242310566
BRN,2.04343444,1.9703797,1.907421016,1.836887559,1.73984494,1.682277132,1.606852344,1.652252574,1.615297124,1.583149587,1.555548473,1.470767029,1.470524133,1.51443515,1.516004293,1.557930514,1.565557816,1.522969894,1.500665667,1.563257244,1.598094643,1.657077815,1.709078345,1.728745041,1.721958528,1.716829827,1.677309577,1.607115326,1.548451768,1.483445234
BGR,1.082220163,1.063473357,1.03169967,1.00639117,1.01883044,0.925330112,0.90317189,0.916891347,0.815473404,0.745636928,0.706539103,0.633470783,0.607242439,0.565317732,0.544189051,0.529509545,0.51407608,0.490135636,0.471471758,0.44904694,0.426542273,0.404860643,0.391634583,0.383718533,0.390114175,0.355402179,0.341439878,0.334294304,0.327569638,0.319024715
BFA,266.5075363,259.2375994,253.1990124,247.8557689,242.409158,237.1879238,229.7013317,221.9117346,214.2361603,205.9429306,200.7409759,189.4388796,182.4924045,171.4442006,163.6925196,156.9092342,152.1185217,144.4368121,141.1796871,136.1897634,132.7927767,129.6764154,127.6449563,125.8919315,123.4175535,123.4561555,123.346018,123.0835848,119.5608889,114.671223
BDI,234.6681727,235.1862783,237.5424997,234.62622,233.135019,236.5867368,235.0855872,228.2338982,219.7140768,212.5989642,207.1329467,197.4291793,191.632584,182.4619206,175.9896002,171.4576074,166.0163388,159.6726504,152.5228068,147.2719639,146.56134,144.4814665,142.6991085,140.7807485,139.3092772,136.1757349,130.794851,127.4447876,127.459839,124.8886706
CIV,144.1797362,142.9994361,142.2616097,143.5358318,144.8968993,145.7837671,142.8532962,139.9523402,136.7150108,132.9581587,129.5253964,123.6766594,118.2415177,112.8950752,109.484266,106.2003057,105.5237777,101.2177251,97.5560023,94.1266981,90.78588899,87.49429003,86.36956715,86.20368898,84.13724292,82.35866894,77.2897417,73.41459336,69.48892945,65.09646123
CPV,81.66797523,78.23987864,75.81609253,73.26547301,76.30790098,103.2803049,60.80282579,56.65679515,52.76743357,49.68251508,46.2436385,43.42748045,40.86536557,38.25172436,35.80131553,33.54592069,30.24398356,27.78997922,25.92238079,24.3484879,23.06389996,22.37420193,21.73723158,21.1821519,20.92035488,20.65350119,20.88802445,20.70659535,23.50168416,22.56755852
KHM,123.0731605,120.1313398,116.3819518,113.4653414,111.1660446,107.3155899,102.8021062,98.48899444,94.2674987,89.17340521,83.06939105,76.96335596,71.50849019,65.86143866,60.5105147,55.3538157,50.70263392,46.56705164,43.03221855,40.47703573,38.34624447,36.28767326,34.45187785,32.63209912,31.26127396,29.91351757,28.71878459,27.84059078,26.49670456,25.33323159
CMR,196.1221627,196.2258238,195.0539076,196.2099651,196.9790983,196.7470804,195.82009,192.0814506,188.5327301,185.0290185,184.0186778,179.3811815,184.3897736,177.7777827,169.813603,163.8138796,159.1341642,149.5844098,143.6521256,138.7940416,136.2828946,131.4900748,123.5259613,119.6707051,113.7309972,106.7127214,104.6616167,100.5234073,94.19300707,88.86254986
CAN,0.281982832,0.277611996,0.275382918,0.280441229,0.281252539,0.282721189,0.28445129,0.289391332,0.298527573,0.304111012,0.316809,0.327166774,0.344219692,0.367727342,0.391693745,0.400735601,0.406949569,0.418538729,0.417122965,0.412455968,0.401964422,0.389297878,0.373266645,0.355404357,0.344811266,0.334184432,0.322867707,0.313194818,0.313449402,0.308899371
CAF,333.6078474,331.6489291,334.1209531,343.7664989,349.6790803,349.1034839,347.3570122,345.7765694,343.4741918,341.6156613,335.4804571,327.0700716,319.1261136,309.3221807,300.7504178,295.43527,295.6221567,289.3936983,283.1779598,278.6601377,273.8337572,268.1061311,262.9130594,267.0625611,270.2477188,271.2191094,271.4221916,269.5009909,261.1191879,254.2116337
TCD,289.1427926,293.5464967,280.3704393,280.4263145,279.1798879,276.3862841,277.9543301,283.1309142,284.6085177,286.8803109,289.8801339,291.3581539,290.6684772,288.0953386,282.1898635,273.2152872,270.0830813,266.6207577,260.2109076,253.7377282,248.0789449,241.3245053,231.8716821,227.1262535,219.8413048,215.7285617,209.8116223,205.4058784,197.2697214,190.2729721
CHL,5.917846005,5.244911009,4.734763043,4.359014794,4.027609012,3.874875341,3.679967953,3.339071873,3.068105455,2.805630892,2.410882789,2.146576665,1.910893275,1.791752062,1.694051553,1.564527206,1.472045485,1.425884056,1.37582059,1.384845164,1.392204279,1.351027591,1.342006836,1.346615726,1.321222108,1.271079608,1.206105067,1.18724918,1.15754489,1.1296539
CHN,14.54534186,13.77960436,12.84460508,11.93090336,11.23387744,10.39001728,9.589739798,8.751848928,8.038964168,7.360654699,6.69479352,5.966612674,5.295434465,4.738336768,4.23704561,3.698616902,3.143301363,2.68110958,2.35156895,2.090654451,1.845590674,1.660304693,1.500008701,1.379375653,1.258853213,1.174130353,1.125435578,1.026652587,0.928665601,0.867667062
COL,14.18023442,13.76515205,13.15851421,12.21940544,11.33657983,10.41829393,9.704793844,8.63997568,7.731862902,7.090519849,6.44655867,5.989108526,6.022476511,5.613475831,5.256685661,4.808636867,4.502094096,4.119149383,3.789275492,3.539158094,3.206110801,2.869587581,2.707227294,2.594887875,2.497797866,2.447987143,2.334414056,2.262536485,2.214084403,2.164557131
COM,172.0059076,170.2514296,171.9244854,166.8626297,167.2257621,164.5828483,162.4724786,160.3239232,162.0396542,154.6613568,161.3465635,143.2458834,141.0745703,127.4553447,120.7260242,116.3340617,107.4832397,111.4242956,104.2955432,96.01984046,88.43374204,86.36274761,82.29573593,80.04573151,84.00079034,82.18259373,79.60876801,77.81846437,73.03989809,69.57523822
COG,188.7017793,183.2037079,180.3969693,180.1920287,183.3483892,183.0382219,181.5372313,180.8526589,176.146805,173.2287571,167.9032894,159.2771286,152.1197849,147.3683258,143.0156545,140.6532247,136.8678333,134.0601694,130.0664573,124.5492421,116.8639317,109.7207,103.6462985,97.37092167,91.76915066,87.13499482,82.53416762,79.86527087,76.19794493,73.43616247
COK,8.001924264,7.539624735,7.110502802,6.717659761,6.391242239,6.119496673,5.848283857,5.489005519,5.247891338,5.019993007,4.767789436,4.561812176,4.358935128,4.161272895,3.971704604,3.790657818,3.658169213,3.533043675,3.335888269,3.250859934,3.194540161,3.170453694,3.12481033,3.094396292,3.037300568,2.984057786,2.933069886,2.876006331,2.815420257,2.761847849
CRI,6.574488806,6.064309955,5.647405331,5.386130463,5.4665108,5.525256514,5.138800368,4.959181787,4.648766429,4.295325918,3.867675726,3.774206382,3.439698043,3.282812415,3.134185955,2.77121329,2.626197264,2.351913198,2.233641269,2.198919395,2.394031479,2.287865506,2.294872452,2.312944263,2.327606313,2.373043492,2.438766427,2.34486323,2.278107933,2.21335249
HRV,0.411373908,0.412224757,0.419455036,0.414199731,0.394578817,0.370622174,0.35032226,0.357704637,0.341993979,0.329816896,0.308485973,0.291809004,0.292565822,0.293348423,0.292167585,0.288046104,0.263190346,0.241416384,0.219739235,0.19467945,0.18872905,0.188978874,0.185821321,0.191621068,0.206235506,0.219832959,0.216798267,0.199876295,0.190439701,0.183490548
CUB,7.391315294,7.559130564,7.974993609,8.609549501,8.852579993,8.627265784,8.210463107,7.780788415,7.362030604,6.901465565,6.298147609,6.075099921,5.463120301,5.267042938,5.127405807,4.983577973,4.375622886,4.143835279,4.08618371,3.971720465,3.928054731,3.699724999,3.724198718,3.676794959,3.661276978,3.659790896,3.522762646,3.573620553,3.504718363,3.335307751
CYP,0.683245551,0.728334484,0.721264179,0.670755843,0.60437055,0.556320233,0.518615587,0.480962319,0.45202318,0.423340422,0.389527416,0.36378786,0.342728956,0.331142856,0.322277688,0.316114541,0.308598658,0.297757091,0.284144413,0.269033746,0.265323003,0.263667432,0.261049277,0.258002544,0.25703248,0.256868351,0.249358301,0.23549685,0.229867868,0.227073124
CZE,0.265484594,0.249883043,0.245787907,0.231229713,0.227689747,0.225846865,0.214860539,0.212258581,0.197721868,0.19569575,0.195531919,0.197308549,0.196959364,0.212317944,0.214676989,0.229198957,0.240918618,0.261937282,0.290868101,0.320693591,0.360598523,0.419997705,0.472794533,0.509153355,0.527704832,0.550759219,0.542958311,0.518825538,0.468267171,0.429850642
PRK,5.238405312,4.935959299,4.648834679,4.41005326,4.204646653,4.072459061,4.01656763,3.960807407,3.912379437,3.854668365,3.772734124,3.644330684,3.521999223,3.384670214,3.221887894,3.053967143,2.887105615,2.727657857,2.750661564,2.629615823,2.499045446,2.389982877,2.271478483,2.154808,2.048321086,1.934993234,1.835945417,1.750651043,1.637846624,1.542515827
COD,147.7658061,147.4981187,147.0593342,147.8431779,155.2043266,152.1564277,156.9575589,159.8561615,165.3031872,165.7875456,167.3649497,164.5895854,160.2732328,156.7563933,150.5479181,146.4898046,144.3539737,142.5354262,139.831951,136.9583369,132.1343608,126.8241578,120.9766667,114.089824,108.243923,102.1906586,96.43253799,91.17819746,85.42929985,80.95665755
DNK,0.32745446,0.327129162,0.332849688,0.336687316,0.330057484,0.329577646,0.31575858,0.288095062,0.264684448,0.262370801,0.256645839,0.274519316,0.305964058,0.324176242,0.333921765,0.343646919,0.36069542,0.374851531,0.38228364,0.396860577,0.398611176,0.3935177,0.388842381,0.385375338,0.373503203,0.364619682,0.357074947,0.350134006,0.342307425,0.335682117
DJI,160.5138888,162.516684,164.2615316,178.3725934,165.7642844,165.2757212,157.7000346,152.1918077,145.3854173,140.4086459,136.4123445,129.5884194,120.3887214,112.1484269,108.105154,99.82059329,95.98780254,93.59333477,89.56916088,85.81099823,85.08699216,81.40924394,79.06986169,77.10119374,73.03368842,70.73805786,68.89396306,67.43602227,64.64085428,62.13698548
DMA,10.10097801,10.12215489,9.710551288,9.23472196,8.760241504,8.323402096,7.989895065,7.689870154,7.407775832,7.187684427,6.871655165,6.565239079,6.384963918,6.201220164,5.910289281,5.677225065,5.597187412,5.603143559,5.47557816,5.42068514,5.361915983,5.325369051,5.268844428,5.245025608,5.207793838,5.181147513,5.111225886,5.077221506,5.085447476,5.053132746
DOM,37.28187637,36.27422852,34.45493418,32.70716744,30.70820007,28.93105789,26.74338685,24.93514795,22.9330031,21.06307273,19.72118612,17.8836253,16.11558879,15.2664397,14.67514818,13.73029347,12.41631457,11.27879199,10.52513025,10.21513355,10.10300348,11.10258077,11.70484455,10.80241141,10.5137237,10.51040753,10.21140522,9.572727383,9.15648267,8.803665427
ECU,30.87609889,31.68813557,28.08583972,24.75866042,22.03539433,20.23673381,18.90853531,16.66858935,15.10583111,13.73108618,12.41105355,11.2091192,11.00062396,10.63496379,10.27811424,9.994042725,9.522113034,8.870684248,8.434684759,8.056452538,7.711516298,7.007406986,6.499391376,6.156214538,5.980442142,5.764360903,5.565032442,5.480567128,5.352822545,5.199102096
EGY,48.23425186,44.05142113,39.63450236,35.53316378,32.05062176,29.10139113,26.23211617,24.38763876,23.00114118,21.48723362,19.60920828,18.55640623,17.74142988,17.22618178,16.08809516,15.06173424,14.11783007,13.85723462,13.42000119,12.75028997,12.01018952,11.49018586,11.1461126,11.01762577,10.1614309,9.48950655,8.443258525,7.722010245,7.074568015,6.559195914
SLV,45.10574262,43.73250686,39.3668424,36.09637336,33.86697281,30.67873539,28.14519512,25.94421846,23.9319564,20.83261149,18.35327987,16.2668999,14.52927371,13.45219545,12.63866785,11.7001173,10.78318572,10.00712958,9.39941803,9.369718083,8.756466149,8.612837358,8.199534236,8.289063349,8.548196105,8.350992877,8.044064645,7.851112515,7.618265017,7.461770426
GNQ,354.3276932,342.7702209,328.5178106,316.723675,302.9382427,288.4329813,263.3593339,222.6167292,191.7421195,164.0420434,138.5857929,117.333964,101.0557235,89.35716264,81.59202442,76.58269637,68.91741149,63.24781401,58.15343013,54.75915328,50.83944096,47.98749373,44.73357669,42.02545594,39.50812231,37.9767555,36.74913096,36.02526934,34.98404637,34.33313321
ERI,429.252166,413.937272,388.7783875,361.2911034,339.3938935,324.2419111,304.5562861,286.4224425,268.1468229,255.3210826,245.0623628,233.4393047,225.3506326,214.960517,210.3665669,204.4085384,199.9863614,196.0521055,193.5171538,188.8501616,186.1191315,180.9314658,175.2976608,171.0738642,164.1263584,158.8700529,154.1840567,149.3889902,142.6975411,137.6284088
EST,0.555024888,0.548872858,0.568921193,0.615799272,0.64945148,0.660585608,0.574423321,0.583189003,0.600483724,0.575839632,0.542903355,0.519605073,0.488309334,0.432395019,0.377494318,0.341276395,0.315704804,0.312778226,0.275674285,0.263234769,0.246571244,0.242703059,0.249356877,0.244602113,0.249638221,0.244883092,0.248020151,0.235986039,0.227124356,0.218976523
SWZ,128.9797004,126.8572644,126.5647543,122.1538009,121.3965367,122.190105,124.2137344,125.9158226,130.7092882,134.5857004,141.3835252,148.9619286,144.9990387,149.0015636,150.7251923,148.2111179,143.4224338,139.3556581,135.131199,130.367366,123.6898506,116.4841125,109.8210339,103.0306167,97.06777537,90.95425368,86.50657335,83.82683827,80.39886116,77.93124997
