iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ASM,73.848,71.551,69.735,70.162,66.393,65.276,63.442,62.242,59.925,58.307,53.698,50.226,47.843,46.901,45.306,44.574,80.496,43.275,42.645,41.348,40.35,38.529,37.437,36.727,35.456,34.62,33.676,32.486,31.138,29.973,28.766,27.447,26.307,25.114,23.827,22.65,21.683,20.373,20.04,19.583,18.891,17.779,17.175,16.555,16.056,15.512,15.355,15.087,14.97,15.784,16.35,16.439,15.498,16.152,12.274,10.975,11.425,11.264,11.204,16.258,11.07,10.936,10.754,10.76,10.676,10.3,10.394,10.347,10.249,10.108,10.139,10.676
ATG,119.074,116.311,113.74,111.08,108.294,105.349,102.289,99.092,95.552,91.271,86.425,80.181,73.794,67.208,60.674,54.367,48.544,43.317,38.758,34.879,31.655,29.002,26.834,25.042,23.471,22.06,20.744,19.491,18.322,17.243,16.293,15.476,14.815,14.297,13.917,13.668,13.532,13.506,13.57,14.093,13.949,14.235,14.58,14.943,15.305,15.958,15.849,15.943,16.226,16.055,15.453,15.058,14.578,14.043,13.467,12.882,12.284,11.699,11.119,10.557,10.013,9.486,8.993,8.53,8.111,7.751,7.428,7.239,6.857,6.608,6.446,6.182
AUS,31.025,31.929,30.38,29.446,28.231,27.878,26.982,27.006,25.171,26.159,24.535,24.052,24.159,23.214,22.626,22.359,21.847,21.614,21.597,22.017,22.203,21.157,19.937,19.027,18.948,16.846,16.269,14.914,14.614,13.406,12.764,12.637,12.379,11.7,11.421,11.848,10.622,10.694,9.874,10.191,9.494,8.214,8.437,7.569,7.354,7.053,7.119,6.798,6.458,6.931,6.161,6.137,6.026,5.896,5.732,6.02,5.642,5.124,5.052,4.929,4.837,4.49,4.02,4.308,3.931,3.739,3.64,3.892,3.628,3.551,3.468,3.391
AUT,75.979,69.965,59.869,56.628,55.779,53.33,50.781,51.025,46.611,46.461,43.421,38.364,37.419,36.121,33.984,32.343,32.26,30.176,29.19,28.875,28.887,29.067,28.176,26.259,26.709,23.419,20.589,19.299,17.91,17.305,17.323,14.98,14.865,13.378,13.501,13.059,11.974,11.369,9.495,10.046,9.598,9.132,9.065,7.698,7.597,6.586,6.236,5.711,5.916,5.384,5.684,5.682,4.983,5.564,5.167,5.005,4.475,4.332,4.506,4.599,4.747,4.28,3.815,3.803,3.703,3.671,3.772,3.609,3.182,3.731,3.653,3.574
AZE,167.495,166.045,163.237,160.495,157.777,155.101,152.461,149.851,147.273,144.722,142.186,139.664,137.155,134.662,132.198,129.763,127.371,125.027,122.773,120.65,118.722,117.067,115.706,114.635,113.819,113.235,112.827,112.477,112.122,111.714,111.165,110.438,109.526,107.04,104.444,102.037,99.832,97.981,96.467,95.44,95.173,95.154,96.924,95.611,95.625,93.957,91.675,88.465,84.368,79.61,74.573,69.437,64.494,59.897,55.788,52.073,48.76,45.692,42.836,40.103,37.509,35.014,32.615,30.395,28.283,26.345,24.559,22.936,21.612,20.458,20.1,18.613
BDI,282.583,280.727,277.584,274.291,271.337,268.225,265.237,262.226,259.17,256.643,253.092,250.29,247.385,244.237,241.156,250.846,245.581,247.139,248.37,250.719,251.104,251.689,302.583,264.528,252.049,251.493,250.408,246.985,242.425,234.378,225.122,214.632,203.613,192.987,183.475,176.354,171.514,169.153,179.381,169.226,170.336,171.338,172.461,190.325,172.768,173.743,173.233,168.889,164.369,159.975,156.647,150.825,144.784,139.173,132.073,125.476,117.917,110.564,103.6,97.046,91.175,85.568,80.297,75.453,71.391,68.112,64.665,61.638,59.072,56.756,54.485,52.494
BEL,59.864,56.721,51.643,47.298,47.198,46.492,44.356,41.048,35.853,35.34,34.742,32.106,31.006,31.276,28.824,26.895,27.905,25.89,25.034,25.002,24.585,23.717,22.004,20.095,19.958,18.654,18.237,16.166,15.674,14.916,14.691,13.742,13.072,12.536,11.981,11.433,11.237,11.201,10.714,9.999,9.704,9.689,9.465,9.181,8.71,7.426,6.428,6.596,6.356,5.97,6.047,5.755,5.457,5.193,4.701,4.776,4.991,5,4.591,4.404,4.453,4.197,4.571,4.283,4.042,3.906,3.765,4.217,4.355,4.146,3.657,3.967
BEN,352.604,348.924,344.779,340.674,336.543,332.433,327.685,323.607,319.059,314.449,309.836,305.086,300.068,294.954,289.581,284.597,279.487,274.697,269.949,265.172,260.987,256.686,251.384,246.657,241.513,237.082,231.842,226.684,221.431,217.069,212.811,208.625,204.496,200.391,196.803,193.061,189.07,185.097,180.979,177.456,173.167,169.514,165.073,161.079,157.25,153.612,150.337,146.728,143.447,140.204,136.974,133.783,130.539,127.411,124.41,121.561,118.883,116.173,113.697,111.375,109.026,106.611,104.288,102.085,99.95,97.704,95.53,93.268,90.907,88.537,86.027,83.379
BES,94.439,86.034,63.881,65.465,61.001,57.708,61.059,52.523,48.967,49.702,48.761,51.66,44.93,35.694,35.421,47.202,37.177,34.035,35.648,29.448,22.316,23.631,22.985,21.894,21.263,20.417,19.929,21.15,22.081,23.914,26.605,26.127,21.74,20.92,20.87,21.305,21.749,21.64,19.751,21.055,22.021,23.764,25.256,20.758,19.117,16.654,19.941,18.007,18.372,17.024,17.909,18.393,18.146,17.801,17.623,17.39,18.661,16.619,16.393,16.242,16.873,14.429,16.894,16.334,14.18,12.675,16.161,12.865,15.895,14.44,15.14,15.709
BFA,387.644,384.164,381.121,377.935,374.061,369.914,365.93,361.812,357.982,353.397,349.337,345.639,341.912,338.605,335.572,332.037,329.559,326.772,324.53,322.428,319.253,316.49,312.145,306.256,297.958,288.078,277.269,266.811,257.284,248.667,241.861,237.076,230.847,226.271,221.535,216.796,211.964,207.776,204.208,201.83,200.329,199.767,199.424,199.009,198.238,196.507,193.765,192.12,187.254,183.72,179.984,176.009,172.161,166.795,160.634,153.829,147.537,141.044,133.672,127.815,122.523,117.268,112.938,108.841,105.012,101.222,97.827,94.378,91.149,88.58,85.639,82.771
BGD,347.91,337.916,328.055,319.363,309.206,300.677,293.329,284.024,277.338,270.228,267.055,257.95,250.182,248.414,240.529,243.609,233.425,230.966,229.51,228.697,265.879,347.477,227.342,227.023,231.816,223.836,221.442,218.355,214.65,210.282,205.738,200.721,195.471,189.796,184.044,179.306,171.535,165.465,159.275,152.619,146.268,152.957,133.56,127.315,121.013,114.925,108.698,102.619,96.915,91.209,85.987,81.098,76.509,72.265,68.384,64.541,61.026,58.255,54.644,51.804,49.126,46.659,44.383,42.204,40.111,38.101,36.134,34.251,32.408,30.714,29.144,27.699
BGR,122.534,128.989,130.416,100.32,105.199,105.935,91.129,83.933,66.244,68.777,56.088,46.099,44.006,42.903,39.434,35.062,36.71,39.272,35.41,34.535,31.532,28.992,30.052,31.159,29.523,26.544,27.001,27.921,26.105,24.258,24.006,22.854,22.513,20.762,20.313,18.783,17.604,18.377,17.727,17.809,18.009,20.251,19.687,18.629,19.8,17.719,19.439,21.343,18.88,18.692,16.346,16.816,16.068,14.731,14.764,12.736,12.044,11.347,10.688,11.073,10.951,9.947,9.507,9.107,8.988,7.706,7.499,7.662,7.071,6.67,6.416,6.171
BHR,347.627,345.394,340.12,333.358,324.84,314.696,288.16,263.736,242.053,221.316,202.266,184.601,168.387,153.25,139.286,126.501,114.693,103.838,93.86,84.766,76.665,69.216,62.798,56.778,51.681,47.292,43.424,40.083,37.24,34.631,32.442,30.581,28.965,27.535,26.284,25.258,24.46,23.92,23.59,23.409,23.235,22.904,22.291,21.291,19.927,18.364,16.812,15.398,14.236,13.355,12.686,12.184,11.798,11.478,11.164,10.825,10.428,9.988,9.532,9.086,8.693,8.507,8.144,7.977,7.855,7.747,7.643,7.523,7.292,7.104,6.903,6.707
BHS,70.419,68.873,67.365,65.855,64.332,62.834,61.346,59.911,58.548,57.125,55.613,54.101,52.592,51.102,49.567,48.089,46.816,44.949,42.893,41.11,39.804,38.688,37.583,36.522,35.835,35.473,34.763,34.073,33.342,32.505,31.579,30.73,29.864,29.074,28.372,27.773,27.275,26.533,25.585,24.537,23.444,22.357,21.497,20.305,19.337,18.444,17.65,16.998,16.528,16.32,16.235,16.337,16.51,16.692,17.251,16.847,16.705,16.521,16.196,15.867,15.531,15.186,14.906,14.563,14.267,15.035,13.65,13.317,12.967,23.492,12.253,11.872
BIH,228.474,221.476,207.695,194.483,181.877,169.915,158.618,148.011,138.114,128.958,120.545,112.865,105.886,99.37,93.31,87.717,82.407,77.259,72.199,67.223,62.259,57.462,52.927,48.737,44.927,41.539,38.589,36.03,33.799,31.834,30.04,28.311,26.585,24.843,23.1,21.461,20.082,19.074,18.471,18.216,18.154,16.835,61.252,59.991,13.765,19.4,12.222,11.546,10.913,10.352,9.911,9.578,9.351,9.199,9.064,8.893,8.621,8.296,7.929,7.554,7.224,6.916,6.681,6.503,6.507,6.265,6.176,6.089,5.987,5.872,5.73,5.581
