iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BGD,56.35677359,50.42978152,47.68716379,44.18349619,41.92334133,39.49209095,36.23691775,32.75735435,30.05900863,27.72278572,25.41979733,22.80781526,20.41649549,17.78571965,15.15409386,12.82327423,11.10280142,9.728540994,8.38571467,7.328028428,6.467160672,5.327428763,4.394229968,3.845314884,3.478111646,3.19822328,2.83963766,2.611769,2.285007678,2.03732782
BRB,2.930309285,2.887755561,2.847669295,2.717595922,2.652963111,2.517536632,2.444412704,2.339990466,2.194667816,2.03123782,1.955043531,1.833826683,1.854820337,1.836718911,1.772491334,1.64497244,1.580276581,1.542658893,1.474809393,1.363044142,1.316090022,1.213435015,1.134658251,1.121244309,1.163203083,1.178144887,1.188885583,1.198719012,1.212860178,1.243681868
BLR,0.383899168,0.383243562,0.377836124,0.389737852,0.382871349,0.39545792,0.381261722,0.379540294,0.374225479,0.379187734,0.357046157,0.353249246,0.308843672,0.28100421,0.281621399,0.279463202,0.263916136,0.245110962,0.226781129,0.227445392,0.240158673,0.24684388,0.232166849,0.242965835,0.24397167,0.22133352,0.21434139,0.210351644,0.206206166,0.202749149
BEL,0.325691511,0.354452606,0.456031929,0.505946565,0.553197119,0.575852818,0.552140179,0.622679587,0.624072268,0.717891273,0.847807898,0.925454682,1.003672331,1.074435247,1.085444999,1.106901886,1.111808419,1.142572228,1.180394561,1.176735467,1.16882353,1.168808585,1.187707543,1.184247766,1.163993026,1.169330391,1.106906523,1.089170475,1.077280757,1.066456308
BLZ,10.01939485,9.486740164,8.85250574,8.284843798,7.931373835,7.721659047,7.85228809,7.90535565,7.864446058,7.656717287,7.525109224,6.844474696,6.316863382,5.969226599,5.745079629,5.382681646,5.1587747,4.988916297,4.705690316,4.480814624,4.424356689,4.140642625,3.885131604,3.872552854,4.1181136,4.302698286,4.369529687,4.197111394,4.225386491,4.197980286
BEN,37.71041614,36.07042061,34.39594559,32.63752507,31.12257953,29.48809479,27.8271718,26.01048291,24.28575775,22.66723075,20.80789215,18.41011107,17.23076135,15.75559461,14.89411513,13.93786945,13.25676093,12.48171376,12.01645324,11.67612303,11.41423578,11.11961042,10.8586937,10.40384849,9.819770854,9.609161609,9.191235434,8.771047745,8.093118771,7.637911554
BMU,0.79828939,0.78458251,0.744164179,0.706581491,0.674682452,0.616386824,0.587835707,0.546219054,0.504137283,0.483081951,0.479792783,0.449760781,0.435550871,0.411388824,0.386986705,0.367542088,0.349939135,0.336792863,0.328135299,0.310151229,0.2980331,0.276686694,0.265330209,0.266523763,0.283183355,0.296409245,0.305580529,0.294792486,0.29034434,0.286097623
BTN,8.455931368,8.235682786,7.454877653,6.68280316,5.954704002,5.365685553,5.064631945,4.838832089,4.438062805,3.631053302,3.41767955,3.046046062,2.613222511,2.400876567,2.130469194,1.812674734,1.426620517,1.583604007,1.419842175,1.237849746,1.11785182,0.999795692,0.872332059,0.804684181,0.739315193,0.684110533,0.630813842,0.58348652,0.555285386,0.513015275
BOL,31.79001782,30.84738794,29.92184209,28.82761458,27.68656698,26.70056346,25.52989166,24.61216827,23.4355951,22.19464684,21.07456511,19.68588245,18.49910063,17.39185818,16.41755494,15.56079939,14.81779937,14.29699128,13.76169528,13.24841847,12.81931807,12.39822281,12.01250904,11.65057282,11.30319239,11.00132858,10.774652,10.49693084,10.26551206,10.06542503
BIH,0.020955246,0.023587476,0.024460227,0.023778275,0.023801676,0.023483507,0.021809847,0.021898321,0.019458072,0.018130524,0.01933535,0.025564231,0.032146751,0.038053578,0.043625606,0.049558825,0.052414907,0.056710101,0.055690729,0.055807635,0.055087096,0.057795442,0.053820387,0.051695582,0.049390581,0.051110234,0.04986818,0.048669001,0.048308678,0.047455729
BWA,15.90232028,15.48015674,15.3312073,14.76138026,14.3414686,14.07007948,13.66786555,13.35448655,13.87146317,13.92208333,13.97690448,14.02118313,13.98386713,13.43220802,12.80188737,12.54473764,13.02113413,13.00384477,12.62556373,12.27528295,12.30292926,11.96518931,11.66101997,11.34132587,11.17576828,10.90243623,10.43247204,10.29693941,10.05602278,9.795486399
BRA,13.0377133,12.32002652,11.83658272,11.46421727,10.93722314,10.46631189,10.21352763,9.909726456,9.72643276,9.422657368,9.032409631,8.791133989,8.419293565,8.070779956,7.580238867,6.961269158,6.463927813,6.056109155,5.67412391,5.385799367,5.139936854,4.889900228,4.607124999,4.390567963,4.14407998,3.978600808,3.862118098,3.68874373,3.683421947,3.659149098
BRN,1.380595805,1.376657732,1.38022633,1.384106373,1.374877353,1.385530281,1.391450125,1.545531066,1.552917988,1.44087373,1.279602305,1.041183566,0.870931277,0.772466441,0.684475427,0.632330784,0.572212286,0.522539277,0.474954043,0.4638605,0.44962094,0.451582568,0.453636964,0.449662297,0.445873545,0.44509834,0.438549574,0.423970798,0.415889743,0.405064339
BGR,0.019521654,0.017190011,0.019346517,0.022405866,0.022545454,0.027114261,0.04826343,0.064513327,0.062347234,0.077083126,0.068238613,0.068767462,0.0708697,0.062546744,0.059205249,0.069026071,0.070687958,0.074906775,0.071256971,0.06706214,0.069050991,0.058978109,0.052615845,0.0455581,0.04161451,0.035288994,0.038355739,0.039149978,0.039715937,0.039872546
BFA,29.39030976,29.52281622,29.9275036,30.51199233,31.17919952,31.99455574,32.92662562,34.43041963,36.07565963,36.97216585,38.037305,37.7911784,38.51785151,38.73051944,39.14205539,39.20555147,37.73942491,33.56124927,30.28961584,27.38795911,24.6250114,22.80016606,21.4258369,20.61226984,19.37845714,18.87053269,18.2385936,17.6075188,16.98287476,16.16374624
BDI,63.10079648,62.57696083,61.4747694,59.34284397,57.77708446,58.29186381,58.18680061,57.98193369,58.55128036,58.74501583,57.6255741,54.99095622,54.79185236,53.68503129,52.3797671,52.12083746,47.68237812,43.85396497,39.70271809,36.92990807,36.00288283,34.58631941,33.11557492,31.96658542,30.50352256,28.64109126,26.4613657,25.17209928,25.11348673,24.46421587
CIV,15.29071748,15.23278696,15.17026167,15.10569008,14.95913084,14.70091372,14.17154947,13.51772622,12.87022617,12.15430375,11.34076725,10.34698244,9.675765866,9.037668021,8.596168509,8.199425974,8.053408672,7.691157975,7.45029615,7.22708021,6.992115494,6.716627363,6.585331081,6.485690405,6.224886292,6.03070069,5.561775015,5.223612269,4.952697543,4.651082224
CPV,9.529742603,9.934636919,9.533224904,9.109497289,9.471110466,8.700561213,8.626383037,7.52180247,7.297540697,6.229642532,5.639952236,5.1968521,4.808923889,4.379542733,4.008560625,3.674596652,3.405134391,3.104892958,2.814425311,2.580714617,2.455886813,2.342639273,2.410206683,2.347325173,2.36878646,2.341598265,2.372742177,2.321814734,2.554364717,2.441730161
KHM,50.19391952,46.13857408,42.48873389,39.34449919,36.64794349,34.13163992,31.55573464,29.08727592,26.73478343,24.37973489,22.178703,20.09453869,18.13646218,16.1329024,14.34499133,12.77144264,11.33048298,10.11673617,9.091577995,8.285235293,7.717053318,7.230038577,6.828480768,6.45002567,6.16702541,5.918939139,5.689399955,5.499356233,5.306323882,5.140785041
CMR,14.65674469,14.49389403,14.45017849,14.38640845,14.15523902,13.89220923,13.66134299,13.46719379,13.23173808,12.89284546,12.34819556,11.4341593,11.37962406,10.80690543,10.2699685,9.811998079,9.401562066,8.77223538,8.341425866,8.010365974,7.781845732,7.552978569,7.237521292,6.993323852,6.667113518,6.255235731,6.03639035,5.73425099,5.442579452,5.195670754
CAN,0.532474892,0.541008013,0.546873022,0.550539293,0.563874104,0.567838824,0.578931577,0.59022452,0.597866658,0.603540901,0.616162694,0.617118394,0.62098427,0.606687327,0.590605828,0.568009218,0.535941432,0.514889795,0.492738773,0.464327293,0.443525488,0.4144124,0.38656244,0.367895596,0.356793421,0.356427042,0.359108852,0.359877715,0.369601375,0.373858503
