Country Code,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
KHM,Cambodia,0.01,0.11,0.48,0.57,2.77,4.96,7.14,9.3,18.67,13.56,16.6,17.74,19.81,19.3,23.94,20.5,28.08,30.18,26.4,34.44,31.1,38.78,40.96,43.16,56.1,47.57,49.77
CMR,Cameroon,30.13,29,32.56,33.77,34.97,36.16,37.35,38.51,40.7,40.79,41,46.2,44.05,45.12,47.1,47.26,49,48.2,50.57,51.72,52.88,53.7,55.25,56.45,56.8,58.87,60.07
CAN,Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CPV,Cape Verde,32.56,34.93,37.3,39.67,42.03,44.38,46.72,49.05,51.35,53.64,55.9,58.14,58.6,62.6,64.82,67,69.3,71.56,73.84,76.15,81.1,80.81,83.15,85.51,87.88,90.24,92.61
CSS,Caribbean small states,76.93,79.98,80.79,81.86,82.38,83.15,85.82,84.63,85.29,86.45,87.15,88.76,88.62,88.94,89.51,90.11,90.04,91.27,92.31,92.37,93.11,92.68,93.63,94.67,95.56,95.57,96.02
CYM,Cayman Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CAF,Central African Republic,0.01,0.54,1.08,1.68,2.28,3,3.44,3.99,4.53,5.05,6,6.02,6.49,6.94,7.4,7.87,7.81,8.84,9.35,9.89,9.8,11.01,11.6,12.19,12.78,13.38,13.99
CEB,Central Europe and the Baltics,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
TCD,Chad,0.01,0.03,0.11,0.3,0.58,1,1.42,2.3,2.2,2.56,2.9,3.22,3.53,3.83,3.5,4.44,4.76,5.09,5.45,5.83,6.4,6.64,7.07,7.5,7.94,7.7,8.83
CHI,Channel Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CHL,Chile,92.26,94.25,94.56,94.95,95.29,95.62,95.62,96.24,97.24,96.79,97.94,97.25,97.46,98.78,97.87,98.09,99.37,98.56,98.82,99.59,99.39,99.59,99.86,99.6,100,99.71,100
CHN,China,92.22,92.66,93.1,93.53,93.96,94.38,94.79,95.18,95.56,95.91,96.24,96.56,96.86,97.15,97.44,97.74,98.07,98.4,98.75,99.12,99.7,99.75,99.92,99.98,100,100,100
CNI,China and India,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,89.9,90.76,91.15,91.54,91.93,91.2,92.66,93.01,93.34,93.65,95.2,94.2,94.45,94.7,94.95,96.8,95.47,95.75,96.81,96.06,96.79,96.69,97.03,97.78,97.79,98.19,99
COM,Comoros,15.3,17.77,20.23,22.7,25.15,27.6,28.9,32.46,34.86,37.24,39.6,41.94,44.8,46.59,48.91,51.23,53.57,55.93,58.31,60.71,63.13,65.56,69.3,70.46,72.92,75.38,77.84
COG,Congo,0.01,0.83,1.63,3.98,6.33,8.66,10.99,13.3,15.59,17.86,20.1,22.33,24.55,26.76,28.97,33.8,33.41,35.65,37.92,37.1,42.52,44.84,41.6,49.51,51.86,60.4,56.57
COD,"Congo, Dem. Rep.",0.01,0.58,1.18,1.91,2.63,3.35,4.05,4.73,5.4,6.04,6.7,7.27,7.86,8.45,9.03,6,10.23,15.2,11.49,12.16,12.84,13.54,15.4,14.97,13.5,16.42,17.15
CRI,Costa Rica,97.47,97.63,97.79,97.95,98.09,98.23,98.36,98.47,98.56,98.63,98.69,98.25,98.51,98.7,98.95,99.05,99.15,99.22,99.26,99.41,99,99.23,99.5,99.56,99.36,99.41,100
CIV,Cote d'Ivoire,36.66,37.79,38.91,40.04,36.5,42.27,43.37,44.46,45.53,48.2,47.62,48.64,51.4,50.68,51.7,58.9,53.75,54.79,55.84,56.9,57.96,59.04,55.8,61.19,61.9,64.09,64.3
HRV,Croatia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CUB,Cuba,92.52,93,93.48,93.95,94.42,94.88,95.33,95.76,96.17,96.56,97,97.28,97.62,97.95,98.29,98.63,98.98,99.33,99.64,99.86,99.96,100,100,100,100,100,100
CUW,Curacao,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CYP,Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CZE,Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PRK,Dem. People's Rep. Korea,0.01,0.03,0.17,0.64,1.2,2.98,4.75,6.5,8.24,9.96,11.65,13.32,14.98,16.64,18.29,19.96,21.63,23.32,25.03,26,28.52,30.29,32.07,33.85,35.65,37.45,39.24
DNK,Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DJI,Djibouti,59.61,59.37,59.13,58.89,58.64,58.38,62,57.82,57.52,57.19,56.84,56.48,49.7,55.71,55.33,54.95,55.5,54.23,53.9,53.59,53.3,53.03,54.6,52.52,52.27,52.03,51.78
DMA,Dominica,66.03,67.55,69.06,70.58,72.08,73.58,75.07,76.54,75,79.42,80.83,82.21,87.7,84.96,86.33,87.71,89.1,90.5,90.9,93.38,94.85,96.33,97.82,98.86,99.58,99.9,100
DOM,Dominican Republic,79.6,78.2,81.43,82.34,83.25,84.14,85.03,85.89,86.74,91,88.76,89.79,89.75,89.17,90.32,90.14,90.12,96.88,97.58,97.86,98.15,97.9,97.87,98.39,98.47,98.56,100
EAR,Early-demographic dividend,53.08,53.12,55.65,57.11,57.7,59.21,60.83,62.59,63.86,66.35,66.82,65.51,68.99,70.15,71.04,72.46,74.01,75.27,76.51,78.68,79.46,76.45,82.26,82.59,83.53,86.97,86.75
EAP,East Asia & Pacific,82.6,81.6,83.89,83.25,84.54,85.46,86.58,87.75,88.5,89.18,89.73,90.29,90.88,91.21,91.73,91.95,93.03,93.19,93.85,94.43,95,95.36,95.81,96.06,96.22,96.53,96.58
EAS,East Asia & Pacific (all income levels),84.12,83.19,85.27,84.67,85.84,87,87.99,89.03,89.7,90.31,90.79,91.29,91.81,92.11,92.57,92.76,93.73,93.87,94.47,94.99,95.5,95.82,96.23,96.45,96.59,96.87,96.91
TEA,East Asia & Pacific (IDA & IBRD),83.66,82.65,84.96,84.31,85.61,86.52,87.63,88.79,89.53,90.2,90.73,91.27,91.85,92.16,92.67,92.87,93.94,94.08,94.73,95.3,95.84,96.18,96.62,96.84,96.98,97.27,97.3
CEA,East Asia and the Pacific (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,
EER,EASTERN EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,88.94,89.43,89.91,90.39,90.87,89.83,91.78,92.22,92.73,93.07,93.42,93.77,94.12,94.97,94.79,95.83,96.32,96.81,97.21,96.47,97.46,96.87,97.19,98.03,98.98,98.83,99.94
EGY,Egypt,93.96,94.32,93.4,95.04,95.39,95.5,96.07,96.38,96.68,96.96,97.7,97.44,97.67,98.8,98.1,99.4,99.04,98.82,99.8,99.38,99.65,99.85,99.7,100,99.8,100,100
SLV,El Salvador,72.46,69.61,74.6,75.66,76.72,77,77.88,79.83,81.64,79.13,84.52,87.06,87.55,86.96,87.36,87.53,89.2,91.11,91,91.08,91.58,92.57,93.68,95.04,95.13,95.4,98.62
GNQ,Equatorial Guinea,58.59,59.01,59.43,59.84,60.25,60.65,61.04,61.41,61.77,62.1,62.41,62.7,62.98,63.26,63.53,63.81,64.1,64.41,64.74,65.09,65.46,66.1,66.24,66.65,67.06,67.47,67.89
ERI,Eritrea,17.84,19.01,20.18,21.35,22.51,22.9,24.8,25.93,27.03,28.12,29.18,30.22,32.2,32.28,33.3,34.33,35.37,36.43,37.52,38.62,39.74,40.88,42.03,43.18,44.35,45.51,46.68
EST,Estonia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ETH,Ethiopia,0.01,0.01,0.03,0.16,0.6,1.12,2.78,4.43,6.06,7.66,12.7,10.81,12.37,13.91,15.46,14,18.58,20.16,21.76,23.39,25.03,23,28.36,30.04,27.2,33.42,42.9
EMU,Euro area,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ECA,Europe & Central Asia,97.59,97.73,97.86,98,98.14,98.33,98.42,98.53,98.65,98.64,98.87,98.96,99.08,99.15,99.22,99.35,99.42,99.55,99.66,99.8,99.49,99.94,99.95,99.99,99.99,100,100
ECS,Europe & Central Asia (all income levels),98.9,98.96,99.02,99.09,99.15,99.16,99.28,99.33,99.38,99.38,99.48,99.53,99.58,99.61,99.65,99.71,99.74,99.8,99.85,99.91,99.77,99.97,99.98,99.99,100,100,100
TEC,Europe & Central Asia (IDA & IBRD),97.83,97.95,98.08,98.2,98.32,98.49,98.58,98.67,98.78,98.77,98.98,99.06,99.17,99.23,99.29,99.41,99.48,99.59,99.69,99.82,99.54,99.95,99.96,99.99,99.99,100,100
CEU,Europe and Central Asia (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,
EEC,European Community,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUU,European Union,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FRO,Faeroe Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FJI,Fiji,60.46,61.99,63.52,65.05,66.57,68.08,66.9,71.06,72.53,73.97,75.39,76.8,79.63,80,80.95,82.34,83.74,88.9,86.16,88.07,89.55,91.05,92.55,91.75,95.59,97.12,98.65
FIN,Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FCS,Fragile and conflict affected situations,28.33,28.36,29.01,29.41,29.62,30.63,31.39,31.97,32.65,33.51,33.25,34.25,35.35,36,36.7,37.69,39,40.44,40.88,41.42,41.21,42.99,45.19,46.3,47.6,48.04,48.92
FRA,France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GUF,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYF,French Polynesia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
