iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ASM,54.015,52.095,50.645,50.802,48.165,47.36,46.09,45.253,43.444,42.254,38.813,36.206,34.41,33.841,32.802,32.235,44.086,31.143,30.713,29.821,29.134,27.826,27.027,26.492,25.61,24.989,24.274,23.377,22.369,21.479,20.572,19.592,18.72,17.841,16.946,16.142,15.459,14.635,14.258,13.846,13.297,12.674,12.254,11.808,11.453,11.111,11.052,10.91,10.831,11.588,12.048,11.981,11.097,10.781,8.395,7.471,8.207,8.143,8.093,9.682,7.953,7.856,7.756,7.753,7.695,7.374,7.475,7.484,7.386,7.198,7.323,7.897
ATG,79.557,78.058,76.561,75.014,73.392,71.67,69.873,67.987,65.895,63.344,60.336,56.627,52.68,48.542,44.36,40.248,36.374,32.829,29.678,26.951,24.649,22.729,21.142,19.817,18.646,17.585,16.589,15.634,14.735,13.901,13.162,12.523,12.004,11.595,11.295,11.097,10.989,10.97,11.021,11.267,11.321,11.547,11.82,12.106,12.39,12.753,12.818,12.891,12.97,12.839,12.507,12.196,11.818,11.395,10.938,10.473,9.995,9.526,9.059,8.604,8.162,7.733,7.33,6.949,6.604,6.306,6.038,5.821,5.563,5.355,5.189,4.998
AUS,24.859,25.14,24.145,23.302,22.309,22.129,21.798,21.787,20.581,21.576,20.088,19.826,20.27,19.521,18.671,18.544,18.18,18.032,18.041,18.453,18.551,17.756,16.583,15.725,15.769,13.842,13.569,12.371,12.162,11.089,10.605,10.387,10.108,9.671,9.433,9.839,8.829,8.962,8.205,8.486,7.917,6.866,6.905,6.032,5.951,5.657,5.725,5.508,5.024,5.683,5.084,5.116,4.996,4.835,4.699,5.078,4.796,4.273,4.252,4.132,4.093,3.788,3.33,3.618,3.357,3.104,3.01,3.293,3.123,3.002,2.935,2.872
AUT,65.299,59.967,52.225,49.724,48.43,46.455,44.393,44.434,40.73,40.258,37.536,33.364,32.881,31.098,29.143,27.64,28.013,26.16,25.235,24.827,24.926,25.58,24.587,23.013,23.365,20.067,17.662,16.657,14.979,14.767,14.641,12.592,12.759,11.543,11.325,10.954,10.193,9.784,8.135,8.282,7.874,7.605,7.544,6.451,6.168,5.323,5.084,4.532,4.831,4.245,4.774,4.751,4.187,4.429,4.547,4.15,3.605,3.643,3.742,3.774,3.984,3.578,3.24,3.131,3.123,3.144,3.166,2.93,2.692,2.988,2.925,2.863
AZE,127.942,126.985,125.069,123.174,121.3,119.448,117.616,115.804,114.01,112.23,110.459,108.694,106.933,105.179,103.44,101.72,100.021,98.357,96.753,95.238,93.861,92.675,91.701,90.932,90.344,89.924,89.632,89.391,89.146,88.873,88.476,87.938,87.264,85.457,83.567,81.812,80.198,78.843,77.726,76.951,76.702,76.755,77.525,77.097,76.955,75.883,74.198,71.814,68.771,65.203,61.382,57.48,53.682,50.119,46.907,43.99,41.364,38.914,36.622,34.408,32.29,30.249,28.279,26.434,24.677,23.051,21.544,20.169,19.041,18.054,17.421,16.457
BDI,166.92,165.956,163.972,162.024,160.112,158.235,156.39,154.575,152.764,150.896,149.032,147.172,145.318,143.483,141.694,145.951,144.327,145.497,146.331,147.423,147.909,148.217,161.182,151.458,148.446,148.194,147.413,145.416,142.326,137.883,132.453,126.517,120.537,115.004,109.997,106.189,103.653,102.3,105.526,102.408,103.042,103.727,104.247,108.608,104.446,104.623,104.153,102.051,99.837,97.414,95.302,92.366,89.144,85.999,82.352,78.63,74.408,70.344,66.444,62.8,59.448,56.226,53.3,50.589,48.241,46.301,44.437,42.772,41.333,39.948,38.648,37.492
BEL,52.668,49.367,45.183,41.47,41.457,40.427,39.236,36.08,31.389,30.314,30.629,28.19,27.098,27.269,25.355,23.154,24.256,22.504,21.322,21.177,21.131,20.165,18.479,17.103,16.993,15.807,15.35,13.634,13.222,12.319,12.151,11.416,11.017,10.395,9.927,9.716,9.708,9.594,9.05,8.555,8.018,8.344,8.092,7.9,7.433,6.02,5.333,5.549,5.147,4.875,4.849,4.52,4.369,4.124,3.829,3.737,4.058,4.095,3.837,3.464,3.627,3.334,3.746,3.439,3.362,3.244,3.155,3.552,3.722,3.628,3.189,3.474
BEN,210.177,208.013,205.44,202.96,200.411,197.702,194.965,192.175,189.367,186.496,183.604,180.543,177.509,174.399,171.271,168.181,164.996,161.954,159.101,156.331,153.724,151.17,148.213,145.32,142.386,139.477,136.508,133.524,130.72,128.128,125.65,123.323,121.172,119.096,117.092,115.213,113.096,111.015,108.834,106.808,104.583,102.602,100.286,98.084,96.009,94.081,92.344,90.471,88.574,86.75,84.986,83.258,81.569,79.862,78.149,76.518,74.988,73.55,72.223,70.863,69.591,68.229,66.92,65.615,64.348,63.118,61.877,60.631,59.318,57.934,56.479,54.972
BES,68.677,63.329,49.159,50.175,47.312,45.15,47.343,41.708,39.148,39.743,39.134,41.149,36.244,29.499,29.28,37.995,30.634,28.238,29.452,24.682,19.053,20.104,19.591,18.697,18.178,17.484,17.085,18.094,18.86,20.333,22.475,22.077,18.543,17.878,17.842,18.196,18.55,18.467,16.929,17.999,18.77,20.162,21.339,17.714,16.396,14.341,17.071,15.481,15.771,14.652,15.377,15.788,15.581,15.302,15.153,14.957,16.02,14.304,14.125,13.99,14.522,12.451,14.543,14.07,12.24,10.946,13.926,11.113,13.699,12.46,13.056,13.54
BFA,170.097,168.945,167.819,166.573,165.158,163.78,162.323,160.82,159.314,157.701,156.153,154.818,153.549,152.35,151.207,150.066,149.085,148.165,147.278,146.564,145.411,144.433,142.602,140.353,137.277,133.596,129.617,125.675,122.081,118.987,116.257,114.392,112.058,110.318,108.484,106.655,104.77,103.1,101.742,100.768,100.196,99.971,99.837,99.664,99.346,98.655,97.567,96.826,94.974,93.56,92.05,90.414,88.844,86.659,84.128,81.33,78.59,75.809,72.714,70.16,67.818,65.549,63.599,61.751,59.986,58.266,56.67,55.043,53.532,52.253,50.843,49.467
