Country Name,iso,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Botswana,BWA,0.2999239,0.324951,0.3476149,0.3623475,0.3471289,0.3250492,0.2617653,0.2483937,0.226372,0.2060505,0.185109,0.1837082,0.1997396,0.2074689,0.1909313,0.1840892,0.1660977,0.1596508,0.1527915,0.1700201,0.1842998,0.1946989,0.1627023,0.1628772,0.1488238,0.1255453,0.114629449,0.1031101,0.089058323,0.07666838,0.105112542,0.084109733,0.0735571,0.05859232,0.043333757,0.06601229,0.06333095,0.05772748,0.05762501
Brazil,BRA,0.1054329,0.3209984,0.2972797,0.3863775,0.3981101,0.3571501,0.2191464,0.2373289,0.2600966,0.2529658,0.2252973,0.1856138,0.2005862,0.1980974,0.2278882,0.1473604,0.175884,0.1467218,0.1273557,0.1353005,0.1205946,0.1318341,0.1227544,0.1402821,0.1200748,0.151362,0.09420627,0.09440047,0.08977629,0.08420103,0.07948799,0.07667773,0.06429972,0.06307167,0.04942154,0.05922252,0.06939177,0.07473793,0.07427229
Bulgaria,BGR,4.52E-05,3.38E-05,2.81E-05,2.81E-05,5.60E-06,0,0,0,0,0.000672405,0.000675872,0.000617355,0,0.000890757,0.002513166,0.01069703,0.004036775,0.005090802,0.01698418,0.02194119,0.02081038,0.01581981,0.01103184,0.006243879,0.02080281,0.03441642,0.04923727,0.003521127,0.01215443,0.0124285,0.01740668,0.0218972,0.0198389,0.01718255,0.01244838,0.01244838,0.01244838,0.009670676,0.007326822
Burkina Faso,BFA,0.6223726,0.5911067,0.5929031,0.6225208,0.6411843,0.6369217,0.5589589,0.4727813,0.587175,0.5291075,0.6341751,0.6363196,0.6080134,0.5463333,0.6915362,0.7154974,0.7323028,0.7080927,0.6486162,0.5208684,0.3634118,0.4330404,0.4623494,0.3544451,0.3450285,0.4087597,0.28193675,0.2712748,0.253421783,0.2469224,0.24541464,0.22641462,0.17547726,0.1254711,0.0943401,0.09488228,0.08813195,0.07760735,0.06198146
Burundi,BDI,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.99999,0.7783858,0.7331575,0.7451963,0.6993238,0.5593314,0.6106624,0.6776563,0.7890704,0.8630905,0.7473703,0.7399332,0.7064965,0.7009594,0.6870384,0.7014576,0.6829742,0.6852381,0.6645797,0.6573277,0.602153471,0.7349599,0.6957176,0.622060614,0.680167571,0.5824136,0.5749489,0.6092741,0.641895,0.6337841,0.6336685
Cameroon,CMR,0.3643803,0.3132515,0.3669934,0.3969623,0.4023715,0.3706677,0.4883761,0.5442026,0.5904878,0.5680416,0.5902253,0.5502819,0.5234343,0.183226,0.2434617,0.4986911,0.3895575,0.3476404,0.3742041,0.294888,0.2148225,0.1871117,0.14306,0.1587738,0.1680559,0.1793099,0.185984883,0.1979594,0.1982278,0.2234326,0.228051671,0.234338829,0.215951871,0.1828437,0.1646355,0.156962,0.155304,0.1495862,0.1363133
Canada,CAN,5.29E-05,0.009967547,0.009132254,0.008296961,0.007461668,0.005797607,0.005791082,0.004955789,0.004909211,0.004862633,0.004816055,0.004769477,0.004820645,0.004871814,0.004922982,0.005769635,0.006616288,0.007462941,0.007471028,0.008673707,0.007380431,0.007395263,0.007410094,0.007424926,0.007439758,0.004997411,0.005808835,0.004993373,0.004963669,0.004933966,0.004904262,0.006594096,0.00828393,0.009973764,0.009973764,0.009973764,0.009973764,0.01246781,0.01246781
Cape Verde,CPV,0.1950879,0.198857,0.2005618,0.1977934,0.1954963,0.1855395,0.1833071,0.1803243,0.1789118,0.1840399,0.1793457,0.1859089,0.1859965,0.1817198,0.1862566,0.1857258,0.1738034,0.1624108,0.1674127,0.1514807,0.1317266,0.1301141,0.1127127,0.0890331,0.07754764,0.06501905,0.057587465,0.06250696,0.0638297,0.05699319,0.06034156,0.05997492,0.05765152,0.05699319,0.05662858,0.06563349,0.06231097,0.0612185,0.05881991
Central African Republic,CAF,0.9656202,0.9645235,0.9536162,0.9654708,0.962897,0.9528531,0.9531512,0.9542151,0.9570798,0.9567498,0.9575768,0.9583207,0.9614447,0.9281263,0.9355473,0.9409253,0.9465849,0.9545564,0.9567819,0.9543833,0.9549363,0.9560343,0.8406574,0.7129497,0.658638,0.674214,0.7034647,0.6839093,0.7109703,0.7448279,0.7588046,0.7646238,0.7467085,0.8810776,0.8814168,0.8816701,0.837038,0.8223625,0.7901418
Chad,TCD,0.7465834,0.6356982,0.6243177,0.6112338,0.5859077,0.5188521,0.5522431,0.722087,0.8091613,0.588078,0.6153243,0.7140179,0.7091961,0.8068039,0.5220032,0.4774936,0.7096034,0.7597998,0.4617863,0.2546044,0.5553018,0.5202401,0.2828532,0.342855,0.2468619,0.2032868,0.178798038,0.1738819,0.185090888,0.2209253,0.201020925,0.1828885,0.17193,0.158574,0.1485644,0.1642446,0.1741418,0.2420153,0.2473531
